elements_number,y_component_number,vector_length,temporary_size,vector_recompute,load_overlap,threads_number,lws_y,time_per_pixel
3,1,16,4,true,false,32,4,2.128815844975558e-09
4,1,8,4,true,true,128,64,3.3576300834210044e-09
4,2,1,2,true,true,512,2,1.8456519367578386e-10
2,1,1,4,true,false,256,1,2.753158770377989e-10
1,1,2,2,true,true,512,128,2.7248472221801778e-09
4,1,8,4,true,true,256,1,4.5672280852384725e-10
4,1,1,2,true,false,64,64,4.531187232141034e-09
3,3,1,2,true,true,32,16,1.5730415403935953e-09
2,1,2,2,true,true,256,8,2.6928735896784376e-10
2,2,1,2,true,false,256,2,1.6064174819653077e-10
4,4,4,4,true,false,64,4,7.475503944077667e-10
